YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,9.5,25,21.8
2021,1,2,51,26,22.5
2021,1,3,19,26,23
2021,1,4,7.5,29.5,23
2021,1,5,3,29.5,22.5
2021,1,6,13,29,22.5
2021,1,7,5,28.5,22.5
2021,1,8,5.5,27,22.2
2021,1,9,4,25,20.7
2021,1,10,-1,26,20.4
2021,1,11,-1,26,20.5
2021,1,12,-1,26.5,20
2021,1,13,-1,28.2,21.5
2021,1,14,-1,28,22
2021,1,15,1.5,27.5,22
2021,1,16,0,29,23.3
2021,1,17,35.5,27.8,22
2021,1,18,12.5,27,22
2021,1,19,30.5,25,21.6
2021,1,20,25.8,27,22.5
2021,1,21,5,31,23.5
2021,1,22,2.5,30,23.5
2021,1,23,0,31,22.3
2021,1,24,0,30.7,24
2021,1,25,0,32.5,22.5
2021,1,26,19.2,31.5,23.2
2021,1,27,12.5,26.2,22
2021,1,28,-1,27,21
2021,1,29,-1,27.5,22.4
2021,1,30,0,27.5,19.4
2021,1,31,4.5,27.2,21
2021,2,1,-1,29.5,22
2021,2,2,1,29,21
2021,2,3,9,27,21
2021,2,4,11,27,21.7
2021,2,5,7,27,21
2021,2,6,0.5,28,22.5
2021,2,7,3.5,30.5,23.5
2021,2,8,17.8,29,22
2021,2,9,11.5,27.5,21
2021,2,10,7,26,22
2021,2,11,0,29,22.5
2021,2,12,7.5,31,22.5
2021,2,13,5,30.5,22.6
2021,2,14,0,30.5,22
2021,2,15,0.5,29,22
2021,2,16,-1,28.5,21
2021,2,17,0.5,28,21.4
2021,2,18,7,26,20
2021,2,19,-1,24.4,20
2021,2,20,0,26,20.6
2021,2,21,1,29,21.5
2021,2,22,25,25,22
2021,2,23,-1,29.5,22
2021,2,24,1.5,30,22
2021,2,25,0,30.5,22.4
2021,2,26,0,31.5,22.5
2021,2,27,8,31.5,24.3
2021,2,28,4.5,31,24
2021,3,1,0,30,23
2021,3,2,0.4,31.5,23.8
2021,3,3,13,29,23
2021,3,4,-1,30,22
2021,3,5,0,31.5,22.5
2021,3,6,0,31,23
2021,3,7,3,30,22.5
2021,3,8,49,26.7,22
2021,3,9,17.6,28.5,21.5
2021,3,10,-1,29,22
2021,3,11,12.9,29,22.3
2021,3,12,87.5,26.5,20.5
2021,3,13,9.5,27,21.5
2021,3,14,12,29.5,22
2021,3,15,1,29.5,23
2021,3,16,0,31.7,22.2
2021,3,17,0,32,23.8
2021,3,18,0,33.5,22.5
2021,3,19,0,33.5,22.5
2021,3,20,0,33,24.5
2021,3,21,0,33,24.5
2021,3,22,77.8,29.8,22.8
2021,3,23,1,33,22.5
2021,3,24,9.5,29,23
2021,3,25,3.5,31,23.6
2021,3,26,4.5,33,22.8
2021,3,27,0,32,23.8
2021,3,28,0,33,24
2021,3,29,0,32.7,24
2021,3,30,-1,32.7,23.8
2021,3,31,-1,33,24
2021,4,1,0,33,22.2
2021,4,2,0,30,23
2021,4,3,0,33,24
2021,4,4,0.5,32,22
2021,4,5,0.4,32,24
2021,4,6,-1,29,22
2021,4,7,2,30,23
2021,4,8,0,32,22
2021,4,9,6,30,21.4
2021,4,10,1,30,23.2
2021,4,11,1,31,21
2021,4,12,8.5,31,22.8
2021,4,13,3.5,30.5,22.5
2021,4,14,24.5,30.5,23
2021,4,15,31,28.5,24
2021,4,16,-1,32.5,23
2021,4,17,0,32.4,24.5
2021,4,18,0,32,22
2021,4,19,0,30.5,22.5
2021,4,20,0,30,23
2021,4,21,0,32,21
2021,4,22,0,33.5,23.3
2021,4,23,0,33.5,22.5
2021,4,24,0,33,22.4
2021,4,25,2.5,32,21.5
2021,4,26,4.8,29.5,22
2021,4,27,4.5,28.5,21
2021,4,28,0,29,22
2021,4,29,0,31,23.3
2021,4,30,0,32,23.2
2021,5,1,0,32.5,24.3
2021,5,2,-1,32,23.5
2021,5,3,20.3,29.5,23
2021,5,4,27.2,29,22
2021,5,5,-1,30.8,24
2021,5,6,16,30,24.8
2021,5,7,-1,32,23.3
2021,5,8,0.5,33,25
2021,5,9,0.5,33,24.5
2021,5,10,-1,29.5,24
2021,5,11,0,30,24.5
2021,5,12,5,32,24
2021,5,13,-1,30.6,24.5
2021,5,14,-1,33,26
2021,5,15,0,33.8,26
2021,5,16,-1,33.5,24
2021,5,17,-1,31,25
2021,5,18,26,31,24.5
2021,5,19,8,32,24.8
2021,5,20,6,31,24
2021,5,21,0,33.5,24
2021,5,22,0,33.7,24.2
2021,5,23,0,34.5,24
2021,5,24,0,31,25
2021,5,25,0,32,25
2021,5,26,0,32,23.8
2021,5,27,0,33,24.8
2021,5,28,-1,33.2,25
2021,5,29,0,34.8,25.7
2021,5,30,0,34.5,25
2021,5,31,0,33,26
2021,6,1,43.8,34.7,24
2021,6,2,49,29,24.6
2021,6,3,-1,31,23.8
2021,6,4,8,30,22.5
2021,6,5,0,32,24
2021,6,6,1,34,23.5
2021,6,7,-1,31,22.8
2021,6,8,-1,30,22
2021,6,9,1,29.8,23
2021,6,10,3.5,30,24
2021,6,11,0.5,30,23.5
2021,6,12,55.5,30,22.5
2021,6,13,-1,31.5,23
2021,6,14,0,30,23
2021,6,15,0,30.8,22.6
2021,6,16,0,32,23.6
2021,6,17,0,33,24.2
2021,6,18,-1,33,22.8
2021,6,19,0,33,24.5
2021,6,20,0,32,23.5
2021,6,21,0,32,22.8
2021,6,22,0,32,22
2021,6,23,0,32,23.8
2021,6,24,-1,31.5,24.8
2021,6,25,9,32.5,24
2021,6,26,1.5,32,23.5
2021,6,27,8.5,32,23
