YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,28.9,23.8
2021,1,2,105.4,27.4,23.4
2021,1,3,96.9,24,20
2021,1,4,19.9,29.1,22.5
2021,1,5,12.5,25.2,22.8
2021,1,6,6.2,29.7,24
2021,1,7,4.1,30.3,23.3
2021,1,8,1.3,31,23.4
2021,1,9,1,33,23.7
2021,1,10,13.6,31.6,23.5
2021,1,11,17.4,25.5,23.2
2021,1,12,9.3,29.8,23.7
2021,1,13,15.5,30,24
2021,1,14,1,30.7,23.5
2021,1,15,0,29.7,23.8
2021,1,16,18.2,31.2,23.8
2021,1,17,1.7,30,23.2
2021,1,18,32.2,24.9,22.9
2021,1,19,8.5,31.5,24.1
2021,1,20,19.8,28.9,24
2021,1,21,-1,30,24.6
2021,1,22,4.5,32.5,22.7
2021,1,23,0.4,31.4,23.4
2021,1,24,1,32.7,23
2021,1,25,0,31.5,22.5
2021,1,26,5.3,31.7,22.8
2021,1,27,0,32.5,22
2021,1,28,24.2,30.8,23.1
2021,1,29,0,30.7,22
2021,1,30,1.5,31,22.6
2021,1,31,7.2,31.5,23.1
2021,2,1,8.5,27.7,23
2021,2,2,9.6,30.7,22.4
2021,2,3,0.1,32.3,23
2021,2,4,3.4,30.3,23.5
2021,2,5,1.6,32.4,22.1
2021,2,6,2.4,31.6,22.4
2021,2,7,47.5,29.7,24.6
2021,2,8,2.9,26.8,22.9
2021,2,9,13,31.5,24.7
2021,2,10,31,33.6,23.5
2021,2,11,0,33.5,23.3
2021,2,12,0,33.1,23.4
2021,2,13,3.2,32.8,23.8
2021,2,14,37.3,32.5,23.4
2021,2,15,7.3,30.5,24.4
2021,2,16,1.3,30.8,23
2021,2,17,0.9,29.5,21.2
2021,2,18,10.9,30.6,23.5
2021,2,19,2.7,27.5,22
2021,2,20,44.6,24.4,22.2
2021,2,21,35.2,25.5,21.9
2021,2,22,0,32.1,24.1
2021,2,23,0,34,24
2021,2,24,2.4,33,22.5
2021,2,25,0,33.1,23.8
2021,2,26,0,33.1,24
2021,2,27,0,33.5,23.8
2021,2,28,25.5,32.2,22.6
2021,3,1,0.2,32.8,23.4
2021,3,2,0.1,32.5,23.3
2021,3,3,0.4,32.4,21
2021,3,4,0,32.7,21.2
2021,3,5,10.2,32.1,22.3
2021,3,6,0,32.8,20.4
2021,3,7,0.1,31.8,22.3
2021,3,8,8.4,30.6,23.1
2021,3,9,1.9,31.2,22.5
2021,3,10,49.6,27.1,23.4
2021,3,11,5.2,26.3,22.5
2021,3,12,1.8,27.5,23.5
2021,3,13,12.8,32.3,23.3
2021,3,14,0.1,32.6,23.8
2021,3,15,10.2,34.5,23
2021,3,16,-1,33.2,23.8
2021,3,17,0.4,33.1,23
2021,3,18,0,34.1,23.3
2021,3,19,0,33.2,24.8
2021,3,20,7.4,31.3,23.6
2021,3,21,0.1,32.7,24.6
2021,3,22,0.2,33.4,22.5
2021,3,23,3.8,32.3,23.5
2021,3,24,10.7,31.6,23.4
2021,3,25,0,33,23
2021,3,26,-1,33.2,23.4
2021,3,27,25.8,31,23.2
2021,3,28,0,33,23.5
2021,3,29,4,32.8,24.8
2021,3,30,3.6,28.7,23.9
2021,3,31,6.6,32,25
2021,4,1,4.6,29,24.5
2021,4,2,7,31,23.5
2021,4,3,0,33,23
2021,4,4,0,32.1,22.9
2021,4,5,0,32,22.9
2021,4,6,0,32.3,23.5
2021,4,7,0,31.5,24.5
2021,4,8,0,31.1,23.3
2021,4,9,0,32.5,24.4
2021,4,10,0.3,33.6,24.6
2021,4,11,0,31.8,23.7
2021,4,12,0,32.8,23
2021,4,13,0,33.2,24.3
2021,4,14,31.8,33,23.9
2021,4,15,26.2,32.4,24.1
2021,4,16,11,31.4,24.8
2021,4,17,18.9,30.5,25.2
2021,4,18,0,30.3,21.7
2021,4,19,0,33.1,23.2
2021,4,20,0,34,24.5
2021,4,21,0,34,25
2021,4,22,0,33.8,25
2021,4,23,0,33.5,25.8
2021,4,24,0,34,24.2
2021,4,25,7.9,33.3,24.6
2021,4,26,0,32,24.8
2021,4,27,125.2,31.4,22.6
2021,4,28,0,32,24
2021,4,29,0,32.7,24.8
2021,4,30,-1,35,24.1
2021,5,1,0.2,34.1,25.7
2021,5,2,17.6,33.4,24.2
2021,5,3,0.1,33.7,24.1
2021,5,4,0,34.6,25.8
2021,5,5,4.4,33.1,24.8
2021,5,6,0,33.5,24.3
2021,5,7,7.2,33,23.5
2021,5,8,16.2,33.8,24.2
2021,5,9,4.2,33,24.7
2021,5,10,12.5,32.3,23.7
2021,5,11,2,34,24.6
2021,5,12,21.5,32.6,23
2021,5,13,6.2,32.5,24.3
2021,5,14,0.4,32.8,25
2021,5,15,1.3,33.5,24.5
2021,5,16,6.8,34.3,23.9
2021,5,17,-1,33.5,25.4
2021,5,18,14.3,29.2,25
2021,5,19,0,34,25.7
2021,5,20,2.4,33.5,25
2021,5,21,0.2,30.5,24.8
2021,5,22,5.4,32.7,24.7
2021,5,23,0,33,23.6
2021,5,24,35,34.3,26.1
2021,5,25,46.6,31.3,23.5
2021,5,26,21.8,32.6,24.5
2021,5,27,0.8,32.5,24.6
2021,5,28,28.5,34.5,25.4
2021,5,29,0.8,33.3,25.2
2021,5,30,6.6,32,24.6
2021,5,31,101.4,30.2,23.6
2021,6,1,49.2,26.1,23
2021,6,2,0,33.4,24.5
2021,6,3,0,34,24.4
2021,6,4,9,33.1,23.7
2021,6,5,0,33.2,24.8
2021,6,6,7,32.2,24.1
2021,6,7,0,31.3,23.8
2021,6,8,0,33.1,25
2021,6,9,-1,33.5,24.5
2021,6,10,1.8,33.5,24
2021,6,11,18.7,33.3,24.1
2021,6,12,16.7,33.2,23.2
2021,6,13,0,33.8,23.7
2021,6,14,-1,34,24.7
2021,6,15,22.6,35,24.2
2021,6,16,1.1,34.1,24.8
2021,6,17,1.3,34.2,24.4
2021,6,18,0,35,25
2021,6,19,0,33.5,24.2
2021,6,20,0,32.9,24.8
2021,6,21,0,33.3,24.1
2021,6,22,-1,34.2,22.6
2021,6,23,0,34.4,24.5
2021,6,24,47.9,34.2,23
2021,6,25,0.1,33.7,23.2
2021,6,26,26.4,33.8,23.5
2021,6,27,0.6,32.3,23.3
2021,6,28,0,34.1,24.3
2021,6,29,0,33.3,25
2021,6,30,-1,34.5,24
2021,7,1,0,33.5,24.5
2021,7,2,15.5,32,24.3
2021,7,3,2.4,30.3,24
2021,7,4,1,32.7,23.6
2021,7,5,7.2,34.7,23.8
2021,7,6,0.3,31,24.2
2021,7,7,2.8,32,23
2021,7,8,7.2,32.8,24.3
2021,7,9,0.4,30.7,24
2021,7,10,3,32.7,23.5
2021,7,11,0.2,33.1,24.2
2021,7,12,4.9,33.7,24.6
2021,7,13,3,30.8,23
2021,7,14,0,34,24.5
2021,7,15,48.8,33.5,24.3
2021,7,16,2.9,31.2,24
2021,7,17,5.7,34.7,25.5
2021,7,18,16.6,32.5,24
2021,7,19,0,33.2,23.9
2021,7,20,0,35,23.1
2021,7,21,0,35.5,24.7
2021,7,22,0,35.5,24.5
2021,7,23,0,35.8,26
2021,7,24,0,35.3,24.4
2021,7,25,0,36,25.6
2021,7,26,0,35,24.8
2021,7,27,0,35,26.5
2021,7,28,0.5,35.5,24.8
2021,7,29,0,35.1,24.4
2021,7,30,0,34.1,24.4
