RUN_TIME,Demand
11/15/2023,50510
11/16/2023,48675
11/17/2023,46792
11/18/2023,44021
11/19/2023,40519
11/20/2023,45277
11/21/2023,47012
11/22/2023,48571
11/23/2023,48446
11/24/2023,48529
11/25/2023,46618
11/26/2023,40515
11/27/2023,43239
11/28/2023,48506
11/29/2023,49024
11/30/2023,48481
12/1/2023,48480
12/2/2023,46668
12/3/2023,42879
12/4/2023,47651
12/5/2023,48364
12/6/2023,46784
12/7/2023,47414
12/8/2023,52522
12/9/2023,44438
12/10/2023,43460
12/11/2023,47688
12/12/2023,48651
12/13/2023,47251
12/14/2023,46615
12/15/2023,46788
12/16/2023,44773
12/17/2023,38718
12/18/2023,44194
12/19/2023,45466
12/20/2023,48379
12/21/2023,47842
12/22/2023,47355
12/23/2023,42749
12/24/2023,42797
12/25/2023,38484
12/26/2023,43553
12/27/2023,48226
12/28/2023,48079
12/29/2023,45587
12/30/2023,42871
12/31/2023,41789
