REGION_NAME,RUN_TIME,GWAP,LWAP,Reserve_GWAP_Fr,Reserve_GWAP_Ru,Reserve_GWAP_Rd,Reserve_GWAP_Dr
CLUZ,2022-01-01,3174.2831296748905,3241.6598817545782,910.0792821963659,3107.2993173439863,12184.774222027487,0.0
CLUZ,2022-01-02,3662.972086874314,3743.612875759218,1707.3081795571659,2976.9052461330934,11875.681029850768,0.00016374550661545366
CLUZ,2022-01-03,4853.983571601611,4983.538080206178,2741.3801817531266,4086.0348609114235,19480.115036262538,2.0173213962325156
CLUZ,2022-01-04,6188.49445934829,6387.231104148731,2116.697650618971,7162.7691177117795,17614.959182286366,3.720994889071951
CLUZ,2022-01-05,18366.618237655675,18827.52818221834,13003.076772958073,19456.428737720926,11290.12906874751,715.6033682490958
CLUZ,2022-01-06,15451.446896504889,15842.361522369787,9469.736559731706,16672.22936098818,10248.887925576497,1196.4607551564156
CLUZ,2022-01-07,12140.857470289066,12561.678958324246,2014.2782060671227,14055.840668458206,9984.286827411019,1215.0303374728958
CLUZ,2022-01-08,18222.42997442098,18748.612675530156,13253.346863155159,24122.47671001475,5432.381890284819,929.6588136707135
CLUZ,2022-01-09,17147.31198645797,17594.00119011002,6513.880586527286,19009.15067428123,9294.344845830577,1984.1127329727924
CLUZ,2022-01-10,50156.88318808714,52529.61355133426,35394.07928750358,49912.46936241887,5521.32311794906,2852.5685170294923
CLUZ,2022-01-11,19711.057082631898,20399.02852703715,17239.100695606925,20456.179562588735,9602.822075682621,141.59358587095295
CLUZ,2022-01-12,9327.406747203173,9657.858549864373,5928.079628133076,10189.770206689735,14975.807541369444,5.4104683619861276e-05
CLUZ,2022-01-13,11233.903968490253,11593.072565922288,8994.43756194697,5101.148741818478,13304.034210490967,347.84181877485526
CLUZ,2022-01-14,9889.030925571149,10156.406991204462,4459.888557658967,10976.547965012698,14257.703148517287,3.254961829915584
CLUZ,2022-01-15,7110.434991465868,7233.805154642499,3943.7407777870303,2722.2537959689244,16912.409012322365,5.262523207320021
CLUZ,2022-01-16,6717.2787035017145,6888.5038203862005,4234.796925371581,3988.457861090833,17348.72093425123,95.88469383469861
CLUZ,2022-01-17,8810.692810024188,9087.818770548376,1416.4220212147025,10805.639116972114,15623.414640815883,1.4842427875375002
CLUZ,2022-01-18,6302.584169046351,6469.366586312929,908.5261840529874,2830.8075661806815,18120.61341021437,0.47739219569478536
CLUZ,2022-01-19,6527.750240620766,6686.75791675649,3369.780878699793,2907.4333224645998,17999.64017711096,1400.460542902904
CLUZ,2022-01-20,9718.200454287557,9989.400031841787,7405.707845940517,6726.079803975967,14734.379689335927,2071.0503812095158
CLUZ,2022-01-21,22415.889388559226,23128.247705800823,12100.189191815709,14972.54111861143,6703.901364643026,3289.480254675299
CLUZ,2022-01-22,14490.193714098425,14859.418624348218,6310.478311080556,4311.277456444077,11642.618875188877,3561.1841260727906
CLUZ,2022-01-23,19070.853868035214,19548.28376093308,16115.416943887727,11241.150200930684,9107.928780395829,6235.272527752743
CLUZ,2022-01-24,23983.577789761122,24736.178951747428,15832.056373170315,21282.46834764333,4132.700944773347,8077.152269341846
CLUZ,2022-01-25,22526.099371240845,23249.280688766194,15970.907918983774,23747.253869239634,7000.876188948967,3679.5698200818656
CLUZ,2022-01-26,8126.413913543542,8391.824717674644,1385.1219401565875,8135.763440568575,13183.310288121751,2161.258338427448
CLUZ,2022-01-27,35557.753132089514,37535.86029013678,22944.690009121732,28639.817930717876,14354.777864768934,6263.059300972142
CLUZ,2022-01-28,34460.690621961454,35958.583553655946,21227.314993907286,24491.837525306146,6397.783809215019,10569.907651174803
CLUZ,2022-01-29,10263.266759668979,10498.890629652695,4900.8000366111955,3217.53129184676,16306.758095925305,3108.2802146918443
CLUZ,2022-01-30,6517.994645593082,6746.26505562695,1222.3030687134826,597.1545748519854,21407.535225188683,795.1316716385053
CLUZ,2022-01-31,4112.375634630042,4251.6575135256,569.4278917848562,1260.5393060672293,19734.350025187545,15.698436485828976
CLUZ,2022-02-01,3407.2066276532137,3507.868861676333,800.377680950374,4589.404163956381,16019.71003222157,640.6649161948975
CLUZ,2022-02-02,5056.636355094538,5234.630348963156,2990.7897754956057,940.3366886059581,18821.814138308742,443.6004847186582
CLUZ,2022-02-03,4033.3634074251895,4180.217551434575,1278.0515199541715,3716.5307378445877,19486.468447583142,622.4454170185295
CLUZ,2022-02-04,3412.7244411095553,3552.3141589746047,965.7325017863336,2603.3866407893347,20457.780414681125,0.6927599443444099
CLUZ,2022-02-05,3743.0498053245633,3868.779872614399,591.2420722274386,6181.519283880069,11362.91521537886,45.964453008855735
CLUZ,2022-02-06,3320.2555149291943,3450.616505483436,973.6890512713188,5117.848877119301,20588.356410218013,1.5999983830928397
CLUZ,2022-02-07,5612.092831710651,5887.706057922572,2991.311823038262,6619.862282510066,18956.006290299363,22.575621060146208
CLUZ,2022-02-08,5697.331138932255,6002.406899665944,1875.4585100858858,4702.456896536257,18550.77388817727,7.4931799749318e-05
CLUZ,2022-02-09,9887.67439088686,10417.735967246756,6405.807937099244,7862.391107804808,12065.967914866145,3034.3090440292544
CLUZ,2022-02-10,5625.0475244008085,5903.712102441148,3085.5273989803013,3603.007009490765,13364.8776384638,385.62033733788775
CLUZ,2022-02-11,7655.26546871652,7967.169368712974,4475.525000464098,7279.009579075695,12337.931584163493,136.5141909628062
CLUZ,2022-02-12,4234.573824948987,4358.656500769649,954.1570374055967,3577.6406122892618,11417.230387207348,466.22069265814235
